2026-03-10 16:12:41  INFO      Log file: /home/mahmudm2/codebase/RollingWheels/Scripts/attention_simple/logs/run_20260310_161241_24_gpu.log
2026-03-10 16:12:41  INFO      Device: cuda
2026-03-10 16:12:41  INFO      Run timestamp: 20260310_161241
2026-03-10 16:12:41  INFO      Figures dir  : /home/mahmudm2/codebase/RollingWheels/Scripts/attention_simple/figures
2026-03-10 16:12:41  INFO      Models dir   : /home/mahmudm2/codebase/RollingWheels/Scripts/attention_simple/models
2026-03-10 16:12:41  INFO      
[0] Surface names
2026-03-10 16:12:41  INFO            1 -> Paving Blocks (Smooth) (Red)
2026-03-10 16:12:41  INFO            2 -> Concrete Sidewalk
2026-03-10 16:12:41  INFO            3 -> Smooth Brick (High Street)
2026-03-10 16:12:41  INFO            4 -> Rough brick (High Street)
2026-03-10 16:12:41  INFO            5 -> Asphalt / Tar surface
2026-03-10 16:12:41  INFO            6 -> Indoor Carpet (low-pile)
2026-03-10 16:12:41  INFO            7 -> Indoor Linoleum
2026-03-10 16:12:41  INFO            8 -> Indoor Tile
2026-03-10 16:12:41  INFO            9 -> Curb Up
2026-03-10 16:12:41  INFO           10 -> Curb Down
2026-03-10 16:12:41  INFO           11 -> Rectangular Paving Tiles
2026-03-10 16:12:41  INFO           12 -> Paving Blocks (Rough)
2026-03-10 16:12:41  INFO      
[1] Load windowed data (labeled + unlabeled)
2026-03-10 16:12:41  INFO        Loading: ../../Datasets/ExtractedFeatures/labeled_accelerometer_raw_windows.csv
2026-03-10 16:12:46  INFO        Rows: 8153088  Windows: 7962
2026-03-10 16:12:49  INFO        Labeled windows: 7962  Classes: [0, 1, 2, 3, 4, 6, 7]
2026-03-10 16:12:49  INFO        Loading: ../../Datasets/ExtractedFeatures/unlabeled_accelerometer_raw_windows.csv
2026-03-10 16:12:57  INFO        Rows: 24242176  Windows: 23674
2026-03-10 16:13:05  INFO        Unlabeled windows: 23674
2026-03-10 16:13:05  INFO        Stratified split (labeled only):
2026-03-10 16:13:05  INFO          Surface 0                     :  1109 train   277 test
2026-03-10 16:13:05  INFO          Paving Blocks (Smooth) (Red)  :   671 train   167 test
2026-03-10 16:13:05  INFO          Concrete Sidewalk             :   905 train   226 test
2026-03-10 16:13:05  INFO          Smooth Brick (High Street)    :  1719 train   429 test
2026-03-10 16:13:05  INFO          Rough brick (High Street)     :   958 train   239 test
2026-03-10 16:13:05  INFO          Indoor Carpet (low-pile)      :   454 train   113 test
2026-03-10 16:13:05  INFO          Indoor Linoleum               :   556 train   139 test
2026-03-10 16:13:06  INFO        Training set: 6372 labeled + 23674 unlabeled = 30046 total
2026-03-10 16:13:06  INFO      
[2] Super-class distribution (labeled train):
2026-03-10 16:13:06  INFO          Paving Blocks (Smooth) / Indoor Tile: 1109 windows
2026-03-10 16:13:06  INFO          Concrete Sidewalk             : 671 windows
2026-03-10 16:13:06  INFO          Brick (Smooth + Rough)        : 905 windows
2026-03-10 16:13:06  INFO          Asphalt + Indoor Carpet       : 1719 windows
2026-03-10 16:13:06  INFO          Indoor Linoleum               : 958 windows
2026-03-10 16:13:06  INFO          Curb (Up + Down)              : 454 windows
2026-03-10 16:13:06  INFO          Rect. Tiles / Paving Blocks (Rough): 556 windows
2026-03-10 16:13:06  INFO      
[3] Train VibClustNet autoencoder
2026-03-10 16:13:06  INFO        Parameters: 513,020
2026-03-10 16:13:56  INFO        [VCN]   1/150  rec=0.0074  cls=1.3954  val_rec=0.0065  val_cls=1.1398  lr=1.00e-03 *
2026-03-10 16:14:44  INFO        [VCN]   2/150  rec=0.0035  cls=0.9984  val_rec=0.0051  val_cls=0.9260  lr=1.00e-03 *
2026-03-10 16:15:32  INFO        [VCN]   3/150  rec=0.0027  cls=0.8374  val_rec=0.0051  val_cls=0.8263  lr=1.00e-03 *
2026-03-10 16:16:20  INFO        [VCN]   4/150  rec=0.0023  cls=0.7222  val_rec=0.0038  val_cls=0.8854  lr=1.00e-03
2026-03-10 16:17:08  INFO        [VCN]   5/150  rec=0.0021  cls=0.6400  val_rec=0.0032  val_cls=0.6202  lr=1.00e-03 *
2026-03-10 16:17:56  INFO        [VCN]   6/150  rec=0.0020  cls=0.5845  val_rec=0.0040  val_cls=0.5752  lr=1.00e-03 *
2026-03-10 16:18:44  INFO        [VCN]   7/150  rec=0.0018  cls=0.5146  val_rec=0.0026  val_cls=0.7645  lr=1.00e-03
2026-03-10 16:19:32  INFO        [VCN]   8/150  rec=0.0018  cls=0.4562  val_rec=0.0029  val_cls=0.6018  lr=1.00e-03
2026-03-10 16:20:19  INFO        [VCN]   9/150  rec=0.0018  cls=0.4111  val_rec=0.0032  val_cls=0.4532  lr=1.00e-03 *
2026-03-10 16:21:07  INFO        [VCN]  10/150  rec=0.0018  cls=0.3586  val_rec=0.0028  val_cls=0.3228  lr=1.00e-03 *
2026-03-10 16:21:09  INFO          NMI (labeled, K=7): 0.7647
2026-03-10 16:21:57  INFO        [VCN]  11/150  rec=0.0019  cls=0.3258  val_rec=0.0025  val_cls=0.3050  lr=1.00e-03 *
2026-03-10 16:22:44  INFO        [VCN]  12/150  rec=0.0018  cls=0.2749  val_rec=0.0023  val_cls=0.3526  lr=1.00e-03
2026-03-10 16:23:32  INFO        [VCN]  13/150  rec=0.0020  cls=0.2742  val_rec=0.0028  val_cls=0.3341  lr=1.00e-03
2026-03-10 16:24:20  INFO        [VCN]  14/150  rec=0.0018  cls=0.2142  val_rec=0.0095  val_cls=0.2414  lr=1.00e-03 *
2026-03-10 16:25:07  INFO        [VCN]  15/150  rec=0.0018  cls=0.1872  val_rec=0.0019  val_cls=0.3314  lr=1.00e-03
2026-03-10 16:25:55  INFO        [VCN]  16/150  rec=0.0016  cls=0.1638  val_rec=0.0026  val_cls=0.4337  lr=1.00e-03
2026-03-10 16:26:43  INFO        [VCN]  17/150  rec=0.0016  cls=0.1489  val_rec=0.0048  val_cls=0.1984  lr=1.00e-03 *
2026-03-10 16:27:31  INFO        [VCN]  18/150  rec=0.0016  cls=0.1308  val_rec=0.0025  val_cls=0.3436  lr=1.00e-03
2026-03-10 16:28:19  INFO        [VCN]  19/150  rec=0.0015  cls=0.1287  val_rec=0.0026  val_cls=0.2630  lr=1.00e-03
2026-03-10 16:29:07  INFO        [VCN]  20/150  rec=0.0014  cls=0.1033  val_rec=0.0026  val_cls=0.3569  lr=1.00e-03
2026-03-10 16:29:08  INFO          NMI (labeled, K=7): 0.9207
2026-03-10 16:29:56  INFO        [VCN]  21/150  rec=0.0015  cls=0.1094  val_rec=0.0027  val_cls=0.1842  lr=1.00e-03 *
2026-03-10 16:30:44  INFO        [VCN]  22/150  rec=0.0014  cls=0.0937  val_rec=0.0042  val_cls=0.1397  lr=1.00e-03 *
2026-03-10 16:31:32  INFO        [VCN]  23/150  rec=0.0013  cls=0.0947  val_rec=0.0014  val_cls=0.1677  lr=1.00e-03
